lokalizacja,cena_za_metr,powierzhcnia,cena_calkowita
ul.Bosmañska Oksywie Gdynia pomorskie,9825 ,45.7,449 000 
Oksywie Gdynia pomorskie,8281 ,64,530 000 
ul.W³adys³awaIV Œródmieœcie Gdynia pomorskie,16 029 ,34,545 000 
ul.Chyloñska Chylonia Gdynia pomorskie,10 969 ,38.2,419 000 
Pogórze Gdynia pomorskie,13 596 ,42.66,580 000 
ul.S³oneczna Witomino-Leœniczówka Gdynia pomorskie,16 300 ,30,489 000 
ul.Chyloñska172 Cisowa Gdynia pomorskie,12 400 ,44.15,547 460 
ul.Miko³ajaReja WzgórzeŒw.Maksymiliana Gdynia pomorskie,10 000 ,58,580 000 
ul.JankiBryla Wiczlino Gdynia pomorskie,13 681 ,40.86,559 000 
ul.Rozewska Chylonia Gdynia pomorskie,9906 ,53,525 000 
ul.Stanis³awaWyspiañskiego WzgórzeŒw.Maksymiliana Gdynia pomorskie,15 149 ,38.22,579 000 
ul.M³yñska Chylonia Gdynia pomorskie,13 079 ,38,497 000 
ul.Lipowa WielkiKack Gdynia pomorskie,10 716 ,55.9,599 000 
ul.Bosmañska Oksywie Gdynia pomorskie,9825 ,45.7,449 000 
ul.KarolaKurpiñskiego Cisowa Gdynia pomorskie,9315 ,46.26,430 900 
WzgórzeŒw.Maksymiliana Gdynia pomorskie,17 370 ,27,469 000 
ul.Chabrowa PustkiCisowskie Gdynia pomorskie,13 165 ,38.93,512 524 
ul.CyprianaGodebskiego Oksywie Gdynia pomorskie,11 663 ,30.78,359 000 
ul.Sandomierska Ma³yKack Gdynia pomorskie,11 763 ,38.17,449 000 
ul.Olgierda Ma³yKack Gdynia pomorskie,12 746 ,46.68,595 000 
ul.Buraczana Karwiny Gdynia pomorskie,10 352 ,54,559 000 
KamiennaGóra Gdynia pomorskie,17 342 ,34.54,599 000 
ul.Legionów Red³owo Gdynia pomorskie,15 083 ,32.42,489 000 
Pogórze Gdynia pomorskie,13 037 ,32.6,425 000 
Dzia³kiLeœne Gdynia pomorskie,11 285 ,47.85,540 000 
ul.Szafranowa D¹browa Gdynia pomorskie,9495 ,51.5,489 000 
ul.in¿.J.Œmidowicza Oksywie Gdynia pomorskie,9979 ,51.1,509 949 
ul.Buraczana Karwiny Gdynia pomorskie,12 640 ,35.6,450 000 
ul.Kartuska Chylonia Gdynia pomorskie,11 196 ,53.5,599 000 
ul.Morska Grabówek Gdynia pomorskie,12 507 ,35.9,449 000 
ul.Nowodworcowa WielkiKack Gdynia pomorskie,13 168 ,30.3,399 000 
ul.Nowodworcowa WielkiKack Gdynia pomorskie,10 900 ,53.09,578 681 
KamiennaGóra Gdynia pomorskie,17 342 ,34.54,599 000 
Chylonia Gdynia pomorskie,10 480 ,45.8,480 000 
ul.Chyloñska Cisowa Gdynia pomorskie,11 000 ,33,363 000 
ul.Stanis³awaFilipkowskiego Wiczlino Gdynia pomorskie,13 321 ,42.04,560 000 
PustkiCisowskie Gdynia pomorskie,9443 ,63.01,595 000 
ul.Stanis³awaFilipkowskiego Wiczlino Gdynia pomorskie,11 684 ,48.7,569 000 
